country,city_nominal,city_actual,jan_temp,feb_temp,mar_temp,apr_temp,may_temp,jun_temp,jul_temp,aug_temp,sep_temp,oct_temp,nov_temp,dec_temp,jan_humid,feb_humid,mar_humid,apr_humid,may_humid,jun_humid,jul_humid,aug_humid,sep_humid,oct_humid,nov_humid,dec_humid,lat_degrees,lat_minutes,lat_hemisphere,long_degrees,long_minutes,long_hemisphere
Afghanistan,Mazar-i-Sharif,Termez Airport,51,56,66,80,92,101,104,101,92,79,65,54,77,71,65,55,42,34,33,35,42,52,67,77,36,43,N,67,7,E
Åland Islands,Mariehamn,Mariehamn / Aland Island,34,33,37,45,55,62,68,67,59,49,41,36,89,88,84,79,74,77,79,82,84,86,89,89,60,6,N,19,57,E
Albania,Gjirokastër,Gjirokastra,57,58,61,67,76,84,90,90,82,74,66,59,80,77,77,75,73,68,64,66,74,79,81,81,40,5,N,20,9,E
Albania,Korçë,Korca,45,47,55,64,73,81,87,88,77,65,56,47,76,71,63,59,57,52,45,45,57,71,76,77,40,37,N,20,47,E
Albania,Shkodër,Shkodra,55,57,61,68,75,82,88,87,81,72,65,58,65,65,64,68,68,66,61,63,63,70,73,66,42,4,N,19,31,E
Albania,Tirana,Tirana Airport,55,56,62,69,77,84,90,90,83,74,65,57,82,78,78,79,79,77,72,70,74,82,84,83,41,20,N,19,49,E
Algeria,Adrar,Adrar Airport,70,75,84,92,101,110,115,113,106,94,80,71,39,30,24,20,18,15,13,15,21,29,36,42,27,53,N,0,18,W
Algeria,Algiers,Alger-Port,63,63,67,71,76,84,89,91,85,80,70,64,80,79,78,76,75,71,70,69,72,74,78,80,36,46,N,3,3,E
Algeria,Béchar,Bechar Airport,61,66,73,80,89,98,105,103,94,83,70,63,51,44,35,29,26,22,18,20,28,39,47,56,31,37,N,2,13,W
Algeria,Constantine,Constantine Airport,54,56,61,67,77,87,94,94,85,76,63,56,79,77,74,71,66,56,49,50,63,68,76,80,36,21,N,6,37,E
Algeria,Ghardaïa,Ghardaia Airport,62,66,73,81,90,99,106,105,95,84,71,63,55,46,41,34,30,26,23,25,35,44,52,58,32,29,N,3,40,E
